,0
0,C#
1,C#
2,C#
3,C#
4,C#
5,C#
6,C#
7,C#
8,C#
9,C#
10,C#
11,C#
12,C#
13,C#
14,C#
15,C#
16,C#
17,C#
18,C#
19,C#
20,C#
21,C#
22,C#
23,C#
24,C#
25,C#
26,C#
27,C#
28,C#
29,C#
30,C#
31,C#
32,C#
33,C#
34,C#
35,C#
36,C#
37,C#
38,C#
39,C#
40,C#
41,C#
42,C#
43,C#
44,C#
45,C#
46,C#
47,C#
48,F#m
49,F#m
50,F#m
51,F#m
52,F#m
53,F#m
54,F#m
55,F#m
56,F#m
57,F#m
58,F#m
59,F#m
60,F#m
61,F#m
62,F#m
63,F#m
64,F#m
65,F#m
66,F#m
67,F#m
68,F#m
69,F#m
70,F#m
71,F#m
72,B7
73,B7
74,B7
75,B7
76,B7
77,B7
78,B7
79,B7
80,B7
81,B7
82,B7
83,B7
84,B7
85,B7
86,B7
87,B7
88,B7
89,B7
90,B7
91,B7
92,B7
93,B7
94,B7
95,B7
96,C#7
97,C#7
98,C#7
99,C#7
100,C#7
101,C#7
102,C#7
103,C#7
104,C#7
105,C#7
106,C#7
107,C#7
108,C#7
109,C#7
110,C#7
111,C#7
112,C#7
113,C#7
114,C#7
115,C#7
116,C#7
117,C#7
118,C#7
119,C#7
120,B7
121,B7
122,B7
123,B7
124,B7
125,B7
126,B7
127,B7
128,B7
129,B7
130,B7
131,B7
132,B7
133,B7
134,B7
135,B7
136,B7
137,B7
138,B7
139,B7
140,B7
141,B7
142,B7
143,B7
144,B-7
145,B-7
146,B-7
147,B-7
148,B-7
149,B-7
150,B-7
151,B-7
152,B-7
153,B-7
154,B-7
155,B-7
156,B-7
157,B-7
158,B-7
159,B-7
160,B-7
161,B-7
162,B-7
163,B-7
164,B-7
165,B-7
166,B-7
167,B-7
168,B-7
169,B-7
170,B-7
171,B-7
172,B-7
173,B-7
174,B-7
175,B-7
176,B-7
177,B-7
178,B-7
179,B-7
180,B-7
181,B-7
182,B-7
183,B-7
184,B-7
185,B-7
186,B-7
187,B-7
188,B-7
189,B-7
190,B-7
191,B-7
192,E-7
193,E-7
194,E-7
195,E-7
196,E-7
197,E-7
198,E-7
199,E-7
200,E-7
201,E-7
202,E-7
203,E-7
204,E-7
205,E-7
206,E-7
207,E-7
208,E-7
209,E-7
210,E-7
211,E-7
212,E-7
213,E-7
214,E-7
215,E-7
216,E-7
217,E-7
218,E-7
219,E-7
220,E-7
221,E-7
222,E-7
223,E-7
224,E-7
225,E-7
226,E-7
227,E-7
228,E-7
229,E-7
230,E-7
231,E-7
232,E-7
233,E-7
234,E-7
235,E-7
236,E-7
237,E-7
238,E-7
239,E-7
240,G#7
241,G#7
242,G#7
243,G#7
244,G#7
245,G#7
246,G#7
247,G#7
248,G#7
249,G#7
250,G#7
251,G#7
252,G#7
