,0
0,E-
1,E-
2,E-
3,E-
4,E-
5,E-
6,E-
7,E-
8,E-
9,E-
10,E-
11,E-
12,E-
13,E-
14,E-
15,E-
16,E-
17,E-
18,E-
19,E-
20,E-
21,E-
22,E-
23,E-
24,E-
25,E-
26,E-
27,E-
28,E-
29,E-
30,E-
31,E-
32,E-
33,E-
34,E-
35,E-
36,E-
37,E-
38,E-
39,E-
40,E-
41,E-
42,E-
43,E-
44,E-
45,E-
46,E-
47,E-
48,D/o7
49,D/o7
50,D/o7
51,D/o7
52,D/o7
53,D/o7
54,D/o7
55,D/o7
56,D/o7
57,D/o7
58,D/o7
59,D/o7
60,D/o7
61,D/o7
62,D/o7
63,D/o7
64,D/o7
65,D/o7
66,D/o7
67,D/o7
68,D/o7
69,D/o7
70,D/o7
71,D/o7
72,G7
73,G7
74,G7
75,G7
76,G7
77,G7
78,G7
79,G7
80,G7
81,G7
82,G7
83,G7
84,G7
85,G7
86,G7
87,G7
88,G7
89,G7
90,G7
91,G7
92,G7
93,G7
94,G7
95,G7
96,Cm
97,Cm
98,Cm
99,Cm
100,Cm
101,Cm
102,Cm
103,Cm
104,Cm
105,Cm
106,Cm
107,Cm
108,Cm
109,Cm
110,Cm
111,Cm
112,Cm
113,Cm
114,Cm
115,Cm
116,Cm
117,Cm
118,Cm
119,Cm
120,F7
121,F7
122,F7
123,F7
124,F7
125,F7
126,F7
127,F7
128,F7
129,F7
130,F7
131,F7
132,F7
133,F7
134,F7
135,F7
136,F7
137,F7
138,F7
139,F7
140,F7
141,F7
142,F7
143,F7
144,B-m
145,B-m
146,B-m
147,B-m
148,B-m
149,B-m
150,B-m
151,B-m
152,B-m
153,B-m
154,B-m
155,B-m
156,B-m
157,B-m
158,B-m
159,B-m
160,B-m
161,B-m
162,B-m
163,B-m
164,B-m
165,B-m
166,B-m
167,B-m
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#7
193,G#7
194,G#7
195,G#7
196,G#7
197,G#7
198,G#7
199,G#7
200,G#7
201,G#7
202,G#7
203,G#7
204,G#7
205,G#7
206,G#7
207,G#7
208,G#7
209,G#7
210,G#7
211,G#7
212,G#7
213,G#7
214,G#7
215,G#7
216,G#7
217,G#7
218,G#7
219,G#7
220,G#7
221,G#7
222,G#7
223,G#7
224,G#7
225,G#7
226,G#7
227,G#7
228,G#7
229,G#7
230,G#7
231,G#7
232,G#7
233,G#7
234,G#7
235,G#7
236,G#7
237,G#7
238,G#7
239,G#7
240,G#m
241,G#m
242,G#m
243,G#m
244,G#m
245,G#m
246,G#m
247,G#m
248,G#m
249,G#m
250,G#m
251,G#m
252,G#m
253,G#m
254,G#m
255,G#m
256,G#m
257,G#m
258,G#m
259,G#m
260,G#m
261,G#m
262,G#m
263,G#m
264,C#7
265,C#7
266,C#7
267,C#7
268,C#7
269,C#7
270,C#7
271,C#7
272,C#7
273,C#7
274,C#7
275,C#7
276,C#7
277,C#7
278,C#7
279,C#7
280,C#7
281,C#7
282,C#7
283,C#7
284,C#7
285,C#7
286,C#7
287,C#7
288,Gm
289,Gm
290,Gm
291,Gm
292,Gm
293,Gm
294,Gm
295,Gm
296,Gm
297,Gm
298,Gm
299,Gm
300,Gm
301,Gm
302,Gm
303,Gm
304,Gm
305,Gm
306,Gm
307,Gm
308,Gm
309,Gm
310,Gm
311,Gm
312,Gm
313,Gm
314,Gm
315,Gm
316,Gm
317,Gm
318,Gm
319,Gm
320,Gm
321,Gm
322,Gm
323,Gm
324,Gm
325,Gm
326,Gm
327,Gm
328,Gm
329,Gm
330,Gm
331,Gm
332,Gm
333,Gm
334,Gm
335,Gm
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,B7
361,B7
362,B7
363,B7
364,B7
365,B7
366,B7
367,B7
368,B7
369,B7
370,B7
371,B7
372,B7
373,B7
374,B7
375,B7
376,B7
377,B7
378,B7
379,B7
380,B7
381,B7
382,B7
383,B7
384,Fm
385,Fm
386,Fm
387,Fm
388,Fm
389,Fm
390,Fm
391,Fm
392,Fm
393,Fm
394,Fm
395,Fm
396,Fm
397,Fm
398,Fm
399,Fm
400,Fm
401,Fm
402,Fm
403,Fm
404,Fm
405,Fm
406,Fm
407,Fm
408,Fm
409,Fm
410,Fm
411,Fm
412,Fm
413,Fm
414,Fm
415,Fm
416,Fm
417,Fm
418,Fm
419,Fm
420,Fm
421,Fm
422,Fm
423,Fm
424,Fm
425,Fm
426,Fm
427,Fm
428,Fm
429,Fm
430,Fm
431,Fm
432,B-7
433,B-7
434,B-7
435,B-7
436,B-7
437,B-7
438,B-7
439,B-7
440,B-7
441,B-7
442,B-7
443,B-7
444,B-7
445,B-7
446,B-7
447,B-7
448,B-7
449,B-7
450,B-7
451,B-7
452,B-7
453,B-7
454,B-7
455,B-7
456,B-7
457,B-7
458,B-7
459,B-7
460,B-7
461,B-7
462,B-7
463,B-7
464,B-7
465,B-7
466,B-7
467,B-7
468,B-7
469,B-7
470,B-7
471,B-7
472,B-7
473,B-7
474,B-7
475,B-7
476,B-7
477,B-7
478,B-7
479,B-7
480,E-7
481,E-7
482,E-7
483,E-7
484,E-7
485,E-7
486,E-7
487,E-7
488,E-7
489,E-7
490,E-7
491,E-7
492,E-7
493,E-7
494,E-7
495,E-7
496,E-7
497,E-7
498,E-7
499,E-7
500,E-7
501,E-7
502,E-7
503,E-7
504,E-7
505,E-7
506,E-7
507,E-7
508,E-7
509,E-7
510,E-7
511,E-7
512,E-7
513,E-7
514,E-7
515,E-7
516,E-7
517,E-7
518,E-7
519,E-7
520,E-7
521,E-7
522,E-7
523,E-7
524,E-7
525,E-7
526,E-7
527,E-7
528,Fm
529,Fm
530,Fm
531,Fm
532,Fm
533,Fm
534,Fm
535,Fm
536,Fm
537,Fm
538,Fm
539,Fm
540,Fm
541,Fm
542,Fm
543,Fm
544,Fm
545,Fm
546,Fm
547,Fm
548,Fm
549,Fm
550,Fm
551,Fm
552,B-7
553,B-7
554,B-7
555,B-7
556,B-7
557,B-7
558,B-7
559,B-7
560,B-7
561,B-7
562,B-7
563,B-7
564,B-7
565,B-7
566,B-7
567,B-7
568,B-7
569,B-7
570,B-7
571,B-7
572,B-7
573,B-7
574,B-7
575,B-7
576,E-
577,E-
578,E-
579,E-
580,E-
581,E-
582,E-
583,E-
584,E-
585,E-
586,E-
587,E-
588,E-
589,E-
590,E-
591,E-
592,E-
593,E-
594,E-
595,E-
596,E-
597,E-
598,E-
599,E-
600,E-
601,E-
602,E-
603,E-
604,E-
605,E-
606,E-
607,E-
608,E-
609,E-
610,E-
611,E-
612,E-
613,E-
614,E-
615,E-
616,E-
617,E-
618,E-
619,E-
620,E-
621,E-
622,E-
623,E-
624,D/o7
625,D/o7
626,D/o7
627,D/o7
628,D/o7
629,D/o7
630,D/o7
631,D/o7
632,D/o7
633,D/o7
634,D/o7
635,D/o7
636,D/o7
637,D/o7
638,D/o7
639,D/o7
640,D/o7
641,D/o7
642,D/o7
643,D/o7
644,D/o7
645,D/o7
646,D/o7
647,D/o7
648,G7
649,G7
650,G7
651,G7
652,G7
653,G7
654,G7
655,G7
656,G7
657,G7
658,G7
659,G7
660,G7
661,G7
662,G7
663,G7
664,G7
665,G7
666,G7
667,G7
668,G7
669,G7
670,G7
671,G7
672,Cm
673,Cm
674,Cm
675,Cm
676,Cm
677,Cm
678,Cm
679,Cm
680,Cm
681,Cm
682,Cm
683,Cm
684,Cm
685,Cm
686,Cm
687,Cm
688,Cm
689,Cm
690,Cm
691,Cm
692,Cm
693,Cm
694,Cm
695,Cm
696,F7
697,F7
698,F7
699,F7
700,F7
701,F7
702,F7
703,F7
704,F7
705,F7
706,F7
707,F7
708,F7
709,F7
710,F7
711,F7
712,F7
713,F7
714,F7
715,F7
716,F7
717,F7
718,F7
719,F7
720,B-m
721,B-m
722,B-m
723,B-m
724,B-m
725,B-m
726,B-m
727,B-m
728,B-m
729,B-m
730,B-m
731,B-m
732,B-m
733,B-m
734,B-m
735,B-m
736,B-m
737,B-m
738,B-m
739,B-m
740,B-m
741,B-m
742,B-m
743,B-m
744,E-7
745,E-7
746,E-7
747,E-7
748,E-7
749,E-7
750,E-7
751,E-7
752,E-7
753,E-7
754,E-7
755,E-7
756,E-7
757,E-7
758,E-7
759,E-7
760,E-7
761,E-7
762,E-7
763,E-7
764,E-7
765,E-7
766,E-7
767,E-7
768,G#7
769,G#7
770,G#7
771,G#7
772,G#7
773,G#7
774,G#7
775,G#7
776,G#7
777,G#7
778,G#7
779,G#7
780,G#7
781,G#7
782,G#7
783,G#7
784,G#7
785,G#7
786,G#7
787,G#7
788,G#7
789,G#7
790,G#7
791,G#7
792,G#7
793,G#7
794,G#7
795,G#7
796,G#7
797,G#7
798,G#7
799,G#7
800,G#7
801,G#7
802,G#7
803,G#7
804,G#7
805,G#7
806,G#7
807,G#7
808,G#7
809,G#7
810,G#7
811,G#7
812,G#7
813,G#7
814,G#7
815,G#7
816,G#m
817,G#m
818,G#m
819,G#m
820,G#m
821,G#m
822,G#m
823,G#m
824,G#m
825,G#m
826,G#m
827,G#m
828,G#m
829,G#m
830,G#m
831,G#m
832,G#m
833,G#m
834,G#m
835,G#m
836,G#m
837,G#m
